region,climate,moisture,soil_type,total
Southern Asia,Boreal,Dry,Sandy,0.7621176270328747
South America,Tropical Montane,Dry,Wetland,0.7031800169124698
Europe,Boreal,Moist,Volcanic,0.6880977810000029
Western Africa,Warm Temperate,Dry,Spodic,0.6610382944906181
Central America,Warm Temperate,Moist,Spodic,0.6605980417964632
Oceania,Tropical,Dry,Sandy,0.6285161657341749
Central America,Tropical Montane,Dry,Low Activity Clay,0.5983637322648225
Central America,Tropical,Moist,Low Activity Clay,0.5237603548237448
Eastern Asia,Warm Temperate,Moist,Volcanic,0.485620255615655
Southern Africa,Warm Temperate,Dry,Low Activity Clay,0.47475537520820943
North America,Tropical,Moist,Wetland,0.4404882060950017
Central America,Cool Temperate,Dry,Volcanic,0.3789410302472238
Central America,Tropical,Wet,Sandy,0.3074650845259276
Southern Africa,Warm Temperate,Dry,Volcanic,0.28868056803636577
South America,Cool Temperate,Dry,Wetland,0.2851860778147821
Caribbean,Boreal,Dry,High Activity Clay,0.28386730671802796
South America,Tropical,Moist,Volcanic,0.2675551723812819
North America,Cool Temperate,Moist,Low Activity Clay,0.24149288829752436
Western Africa,Tropical,Dry,Spodic,0.20685253916742763
South America,Tropical,Dry,Wetland,0.18157282823752352
Caribbean,Tropical,Dry,Volcanic,0.16991619393126633
South-Eastern Asia,Cool Temperate,Dry,Volcanic,0.15945961057113034
Eastern Africa,Tropical,Dry,Sandy,0.15408060239471322
Northern Africa,Cool Temperate,Dry,Low Activity Clay,0.14717388079205307
Western Asia,Warm Temperate,Moist,High Activity Clay,0.13745269662008575
North America,Tropical,Dry,High Activity Clay,0.11747549422148906
South America,Tropical,Dry,Spodic,0.09057385963718478
Central Asia,Cool Temperate,Dry,Volcanic,0.08624145149309737
Central Asia,Tropical,Wet,Spodic,-0.010601913319900902
North America,Tropical,Dry,Low Activity Clay,-0.07146397009850369
Southern Asia,Warm Temperate,Dry,Wetland,-0.12375182288761488
Caribbean,Tropical,Moist,High Activity Clay,-0.14075880212087466
Southern Asia,Warm Temperate,Dry,Volcanic,-0.14094890682782735
Caribbean,Tropical Montane,Dry,Volcanic,-0.15027394701686614
Northern Africa,Tropical,Moist,Sandy,-0.29672816792134693
Southern Africa,Warm Temperate,Dry,Wetland,-0.3054298787667289
Central Asia,Boreal,Moist,Wetland,-0.3225448527940613
Eastern Africa,Warm Temperate,Dry,Wetland,-0.3533124756995427
Western Asia,Tropical,Wet,Low Activity Clay,-0.3540762646477704
Northern Africa,Cool Temperate,Moist,Spodic,-0.37570267118799805
Western Asia,Boreal,Dry,Sandy,-0.39917561392847256
Europe,Boreal,Dry,High Activity Clay,-0.5172200079240001
Caribbean,Tropical,Wet,Volcanic,-0.5586639204995913
South America,Warm Temperate,Moist,Wetland,-0.5645730689645722
Europe,Cool Temperate,Moist,Sandy,-0.5683099871774995
Northern Africa,Tropical,Dry,Spodic,-0.5810967082168892
Europe,Boreal,Moist,High Activity Clay,-0.5849870794280037
Eastern Asia,Warm Temperate,Moist,High Activity Clay,-0.596781410798892
Europe,Boreal,Moist,Low Activity Clay,-0.6002296222889978
South America,Boreal,Dry,Wetland,-0.6630453095503855
Central Africa,Warm Temperate,Dry,Spodic,-0.6731642729603209
Eastern Africa,Warm Temperate,Moist,Spodic,-0.7285435002686289
Western Africa,Tropical Montane,Dry,Spodic,-0.7395488495335485
Western Asia,Tropical,Dry,Wetland,-0.7749194984864931
Europe,Cool Temperate,Dry,Spodic,-0.7850750939295043
Northern Africa,Cool Temperate,Dry,Sandy,-0.791461994089727
Central America,Boreal,Moist,Low Activity Clay,-0.7960269585398971
Central America,Cool Temperate,Dry,Wetland,-0.8141341723351601
Southern Africa,Tropical Montane,Dry,Low Activity Clay,-0.8637394933369271
