module_type,region,climate,moisture,soil_type,count,sum,mean,median,min,max,q1,q3
Annual Cropland,South Africa,Warm Temperate,Dry,Volcanic,1,-4.038053798869803,-4.038053798869803,-4.038053798869803,-4.038053798869803,-4.038053798869803,-4.038053798869803,-4.038053798869803
Annual Cropland,Syrian Arab Republic,Cool Temperate,Dry,Volcanic,1,-4.050822872933258,-4.050822872933258,-4.050822872933258,-4.050822872933258,-4.050822872933258,-4.050822872933258,-4.050822872933258
Annual Cropland,Sri Lanka,Tropical Montane,Dry,Low Activity Clay,1,-4.052481709899167,-4.052481709899167,-4.052481709899167,-4.052481709899167,-4.052481709899167,-4.052481709899167,-4.052481709899167
Annual Cropland,Turks And Caicos Islands,Warm Temperate,Moist,Volcanic,1,-4.053997482643714,-4.053997482643714,-4.053997482643714,-4.053997482643714,-4.053997482643714,-4.053997482643714,-4.053997482643714
Annual Cropland,Dominican Republic,Tropical,Moist,High Activity Clay,1,-4.053997482643714,-4.053997482643714,-4.053997482643714,-4.053997482643714,-4.053997482643714,-4.053997482643714,-4.053997482643714
Annual Cropland,Viet Nam,Cool Temperate,Moist,High Activity Clay,1,-4.060288966759791,-4.060288966759791,-4.060288966759791,-4.060288966759791,-4.060288966759791,-4.060288966759791,-4.060288966759791
Annual Cropland,Sri Lanka,Tropical,Moist,Sandy,1,-4.085197765637815,-4.085197765637815,-4.085197765637815,-4.085197765637815,-4.085197765637815,-4.085197765637815,-4.085197765637815
Annual Cropland,Nauru,Cool Temperate,Moist,Volcanic,1,-4.0933408385955,-4.0933408385955,-4.0933408385955,-4.0933408385955,-4.0933408385955,-4.0933408385955,-4.0933408385955
Annual Cropland,Samoa,Cool Temperate,Moist,Wetland,1,-4.0933408385955,-4.0933408385955,-4.0933408385955,-4.0933408385955,-4.0933408385955,-4.0933408385955,-4.0933408385955
Annual Cropland,Madagascar,Warm Temperate,Dry,Volcanic,1,-4.094904099580001,-4.094904099580001,-4.094904099580001,-4.094904099580001,-4.094904099580001,-4.094904099580001,-4.094904099580001
