module_type,region,climate,moisture,soil_type,count,sum,mean,median,min,max,q1,q3
Livestock,North America,Cool Temperate,Moist,Wetland,7,9.87120415587399,1.4101720222677128,-0.21542340850799974,-18.91049642625001,24.549262633350008,-15.162779861775007,19.495002679425
Livestock,Oceania,Boreal,Dry,Sandy,11,9.820703420921088,0.8927912200837352,1.0149343354764437,-23.74409452239575,19.518833126341935,-6.341291838583385,10.147012518260059
Livestock,South-Eastern Asia,Warm Temperate,Dry,High Activity Clay,12,9.774474276991509,0.8145395230826257,-0.1589523687696236,-17.25930002833996,21.366226173316058,-6.348832202617385,10.20438186338006
Livestock,Oceania,Boreal,Moist,Volcanic,11,9.75383632034489,0.8867123927586263,1.5568138499466782,-19.539209562272816,23.202106863323138,-7.114849351592939,9.704144612234968
Livestock,North America,Cool Temperate,Dry,Wetland,7,9.70063771801597,1.3858053882879957,-0.2737163013750001,-20.912154154125012,29.76334498214999,-20.912154154125012,22.059890986770004
Livestock,Central America,Boreal,Moist,Sandy,11,9.6736685808724,0.8794244164429454,0.14936471492080736,-20.165972459130007,24.62247068136757,-7.815365152320781,8.519625144673919
Livestock,South-Eastern Asia,Boreal,Moist,Spodic,11,9.497198223038833,0.8633816566398939,1.2297715426190707,-20.964072336963405,19.539209562272816,-7.05850126227265,6.041206558606626
Livestock,South-Eastern Asia,Tropical Montane,Dry,Wetland,11,9.452631062760272,0.8593300966145702,1.5662769097448408,-21.832033299717956,21.33585072472437,-6.894074572994083,9.551369976978723
Livestock,Central America,Warm Temperate,Dry,Low Activity Clay,12,9.421527855619258,0.7851273213016049,0.047440998538936185,-18.811543147460362,28.328139145892067,-1.3874151012358835,7.54903162290717
Livestock,Eastern Asia,Cool Temperate,Dry,Wetland,10,9.373725817245164,0.9373725817245164,3.7674525261175713,-20.39598740174949,20.367259118828024,-6.351630802121801,6.971966653782723
Livestock,Eastern Asia,Warm Temperate,Moist,Wetland,11,9.269935217103537,0.8427213833730488,1.286649187508531,-22.3368018150557,22.846537310827372,-5.376870380561032,7.520635271244732
Livestock,Eastern Asia,Cool Temperate,Dry,High Activity Clay,11,9.18834425216084,0.8353040229237128,1.5675648825705955,-21.755935876929936,21.335143801886545,-5.427772278334657,9.921523351187615
Livestock,Eastern Asia,Tropical,Moist,Wetland,10,9.032149678944485,0.9032149678944486,3.099447486471024,-22.375030267764895,22.375030267764895,-6.049381966394126,7.776865177250071
Livestock,South-Eastern Asia,Boreal,Moist,Volcanic,11,9.02324042770326,0.82029458433666,0.9176271660226403,-27.716952815497912,25.35806321417894,-6.812089804716644,7.312264108594849
Livestock,South-Eastern Asia,Tropical,Moist,Spodic,11,8.998867806780096,0.8180788915254632,1.1844589638566771,-23.415729349986517,23.415729349986517,-6.596878027322473,7.124500135297439
Livestock,South-Eastern Asia,Cool Temperate,Moist,Low Activity Clay,11,8.977688236441182,0.8161534760401075,1.3136196023430988,-22.28132308684487,22.765962904337325,-5.900713382825076,7.312264108594849
Livestock,North America,Tropical Montane,Dry,Volcanic,7,8.962508023229983,1.2803582890328546,-0.6249114630000003,-33.226003571962494,40.86712584045,-32.91120078187501,34.771399086937485
Livestock,South-Eastern Asia,Tropical Montane,Dry,High Activity Clay,11,8.909242519091501,0.8099311380992273,1.386314990693191,-20.335239478969246,20.83926786487043,-6.272212180883541,7.769435154173882
Livestock,Europe,Cool Temperate,Dry,Volcanic,6,8.862409749622508,1.4770682916037512,0.09503165905874972,-8.995299074999998,10.922863162500004,-1.1082565309950017,7.853038875000004
Livestock,South-Eastern Asia,Cool Temperate,Dry,High Activity Clay,11,8.816674683125697,0.8015158802841543,1.1153764203117176,-19.912800881760777,19.904366866127393,-6.302709878560593,8.241191430477361
Livestock,Oceania,Cool Temperate,Dry,Spodic,11,8.691088448011927,0.7900989498192661,1.2295770113187006,-12.750815787721399,16.046624177767484,-4.389893552417241,5.406042282432813
Livestock,Western Africa,Warm Temperate,Moist,Sandy,10,8.68365994176564,0.868365994176564,0.34801751932571534,-9.924073252376303,14.055647409381697,-5.88754224883125,6.554558929476977
Livestock,North America,Warm Temperate,Dry,High Activity Clay,8,8.595862094128004,1.0744827617660004,-0.0216206947,-30.64629007440002,35.521836222600015,-0.5569490954719998,32.73580985220002
Livestock,Oceania,Warm Temperate,Moist,High Activity Clay,9,8.57520479141195,0.9528005323791056,4.804862893267306,-27.302111228463424,19.180008762281147,-8.382955973064178,8.476051763712032
Livestock,South-Eastern Asia,Tropical,Wet,Volcanic,11,8.502162544423747,0.7729238676748861,1.300134448167223,-21.12111731521948,21.580272039463384,-6.53342951075022,7.214182779305389
Livestock,South-Eastern Asia,Warm Temperate,Moist,Sandy,11,8.411891452468709,0.7647174047698826,1.0334337752403975,-20.032453596160316,20.032453596160316,-7.1232873780119395,8.476051763712032
Livestock,Eastern Asia,Boreal,Dry,Wetland,11,8.393602616834126,0.7630547833485569,1.167254393349472,-21.659005962553685,19.866665596120427,-8.543821161085592,9.470545017042724
Livestock,Oceania,Warm Temperate,Dry,Wetland,12,8.366439906814662,0.6972033255678886,0.04701758519143184,-22.386772909045135,27.40934526179358,-6.45041685173416,8.553994668115593
Livestock,Oceania,Cool Temperate,Dry,Wetland,11,8.309435507582396,0.7554032279620361,0.9069625976598006,-16.462448866300946,21.2930436242293,-8.353958468617027,6.141933472063085
Livestock,Western Africa,Warm Temperate,Moist,Wetland,11,8.309426607442177,0.7554024188583797,2.34348681934514,-14.101843049193358,17.138251452006962,-7.2039041991494965,7.303653506996539
