module,region,climate,moisture,soil_type,count,sum,mean,median,min,max,q1,q3
Grassland,South-Eastern Asia,Tropical,Dry,Low Activity Clay,496,284.0146135358744,0.5726101079352306,0.0,-44.008306094133346,47.259805480433336,-16.290607455099988,17.89716766482855
Grassland,Eastern Asia,Tropical,Dry,Low Activity Clay,496,283.5297260433802,0.5716325121842343,0.023597689499999852,-44.04556713718333,47.10457521407824,-16.561664583749987,17.945803726714274
Grassland,Europe,Tropical,Dry,Low Activity Clay,496,281.9911504746115,0.5685305453117168,0.0,-44.04556713718333,46.79382591062144,-16.611078228799986,17.980355138877538
Grassland,Western Asia,Tropical,Dry,Low Activity Clay,496,281.90924708772843,0.5683654175155816,0.0,-44.228825878233344,47.19011726762144,-16.71102921839998,17.945803726714274
Grassland,Western Africa,Tropical,Dry,Low Activity Clay,496,281.8937218753137,0.5683341166841002,0.0,-43.957768749583344,47.259805480433336,-16.611627592999984,18.010258033821415
Grassland,Central Asia,Tropical,Dry,Low Activity Clay,496,281.63243499984833,0.5678073286287265,0.0,-43.957768749583344,46.85489909393334,-16.639012565999987,17.94580372671427
Grassland,South America,Tropical,Dry,Low Activity Clay,496,281.6011441383469,0.5677442422144091,0.0,-43.957768749583344,46.60756907968334,-16.611627592999984,17.89716766482855
Grassland,Eastern Africa,Tropical,Dry,Low Activity Clay,496,281.22489958469157,0.5669856846465556,0.00550612755000035,-43.957768749583344,46.70287696231294,-16.611627592999984,17.868879652171415
Grassland,Southern Asia,Tropical,Dry,Low Activity Clay,496,280.4778835888116,0.5654796040097009,0.05270150655000028,-44.04556713718334,46.70287696231294,-16.611078228799986,18.010258033821415
Grassland,Western Africa,Boreal,Dry,Volcanic,496,279.75543794646643,0.5640230603759404,-0.021511516950000087,-43.19877189906667,45.86714277454421,-16.291550619666673,17.289419849428562
Grassland,Northern Africa,Cool Temperate,Dry,Volcanic,496,278.92213064099116,0.5623430053245789,0.0,-43.10219309366667,46.15368614704421,-16.217692258166668,17.38617189906666
Grassland,Central America,Tropical,Dry,Low Activity Clay,496,278.4429969463777,0.5613770099725357,-0.023597689499999852,-44.228825878233344,46.544619730583335,-16.611627592999984,18.010258033821415
Grassland,Caribbean,Tropical,Dry,Low Activity Clay,496,278.1726056326093,0.5608318661947769,0.0,-43.85837960973335,46.77810916703572,-16.611627592999984,17.89716766482855
Grassland,Southern Asia,Boreal,Dry,Volcanic,496,278.1575688639786,0.5608015501289891,0.017441770499999953,-43.324826373766676,45.930873258914275,-16.166658929666667,17.47060097694127
