id,climate,land_use_type,region,forest_condition_type,from_year,forest_type,agb_min,agb_max,agb_growth_min,agb_growth_max,agb_unit,agb_min_min,agb_max_max,agb_growth_min_min,agb_growth_max_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 4.7, 4.8, 4.9, 4.10, 4.12; 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2006), Volume 4 AFOLU, tables 4.12."
9959,Tropical,Rainforest,Oceania,Primary,0,Natural,141,141,3.29,3.29,tC/ha,N/A,N/A,N/A,N/A,
9960,Tropical,Rainforest,Oceania,Secondary,21,Natural,141,141,3.29,3.29,tC/ha,N/A,N/A,N/A,N/A,
9961,Tropical,Rainforest,Oceania,Secondary,21,Plantation,70.5,70.5,7.05,7.05,tC/ha,N/A,N/A,N/A,N/A,
9962,Tropical,Rainforest,Oceania,Secondary,0,Natural,141,141,3.29,3.29,tC/ha,N/A,N/A,N/A,N/A,
9963,Tropical,Rainforest,Oceania,Secondary,0,Plantation,70.5,70.5,7.05,7.05,tC/ha,N/A,N/A,N/A,N/A,
9964,Tropical,Moist Deciduous Forest,Eastern Africa,Primary,0,Natural,111.202,111.202,0.188,0.188,tC/ha,61.993,160.411,0.0188,0.3572,
9965,Tropical,Moist Deciduous Forest,Central Africa,Primary,0,Natural,111.202,111.202,0.188,0.188,tC/ha,61.993,160.411,0.0188,0.3572,
9966,Tropical,Moist Deciduous Forest,Northern Africa,Primary,0,Natural,111.202,111.202,0.188,0.188,tC/ha,61.993,160.411,0.0188,0.3572,
9967,Tropical,Moist Deciduous Forest,Southern Africa,Primary,0,Natural,111.202,111.202,0.188,0.188,tC/ha,61.993,160.411,0.0188,0.3572,
9968,Tropical,Moist Deciduous Forest,Western Africa,Primary,0,Natural,111.202,111.202,0.188,0.188,tC/ha,61.993,160.411,0.0188,0.3572,
9969,Tropical,Moist Deciduous Forest,Eastern Africa,Secondary,21,Natural,34.216,34.216,0.423,0.423,tC/ha,17.108,51.324,0.094,0.752,
9970,Tropical,Moist Deciduous Forest,Eastern Africa,Secondary,21,Plantation,56.4,227.01,1.41,7.05,tC/ha,-9.77469869,252.4239487,-,-,
