id,climate,moisture,peat_type,module_type,co2,co2_unit,doc,doc_unit,ch4,ch4_unit,n2o,n2o_unit,co2_min,co2_max,doc_min,doc_max,ch4_min,ch4_max,n2o_min,n2o_max,"Source: 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, IPCC (2014), table 3.1, 3.2, 3.3."
246,Warm Temperate,Moist,Nutrient Rich,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
247,Tropical,Dry,Nutrient Rich,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
248,Tropical,Moist,Nutrient Rich,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
249,Tropical,Wet,Nutrient Rich,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
250,Tropical Montane,Dry,Nutrient Rich,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
251,Boreal,Dry,Nutrient Rich,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
252,Boreal,Moist,Nutrient Rich,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
253,Cool Temperate,Dry,Nutrient Rich,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
254,Cool Temperate,Moist,Nutrient Rich,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
255,Warm Temperate,Dry,Nutrient Rich,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
256,Warm Temperate,Moist,Nutrient Rich,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
257,Tropical,Dry,Nutrient Rich,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
258,Tropical,Moist,Nutrient Rich,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
259,Tropical,Wet,Nutrient Rich,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
260,Tropical Montane,Dry,Nutrient Rich,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
261,Boreal,Dry,Nutrient Rich,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
262,Boreal,Moist,Nutrient Rich,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
263,Cool Temperate,Dry,Nutrient Rich,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
264,Cool Temperate,Moist,Nutrient Rich,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
265,Warm Temperate,Dry,Nutrient Rich,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
266,Warm Temperate,Moist,Nutrient Rich,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
267,Tropical,Dry,Nutrient Rich,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
268,Tropical,Moist,Nutrient Rich,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
269,Tropical,Wet,Nutrient Rich,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
270,Tropical Montane,Dry,Nutrient Rich,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
271,Boreal,Dry,Nutrient Poor,(24) Forest Management (LUC),-0.34,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.59,-0.09,0.05,0.11,0.5,246,N/A,N/A,
272,Boreal,Moist,Nutrient Poor,(24) Forest Management (LUC),-0.34,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.59,-0.09,0.05,0.11,0.5,246,N/A,N/A,
273,Cool Temperate,Dry,Nutrient Poor,(24) Forest Management (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
274,Cool Temperate,Moist,Nutrient Poor,(24) Forest Management (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
