id,ipcc_region,livestock_production_type,livestock_category_type,value,value_min,value_max,"source: Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 10.10, 10.11;  IPCC 2006, Section 10.3.4, p. 10.4; Wang, S.-Y. & Huang, D.-J. 2005. Assessment of Greenhouse Gas Emissions from Poultry Enteric Fermentation. Asian-Australasian Journal of Animal Sciences, 18(6): 873–878. https://doi.org/10.5713/ajas.2005.873."
1182,South Asia,High-Productivity,Goats,9,6.3,11.7,
1183,South Asia,High-Productivity,Horses,18,12.6,23.4,
1184,South Asia,High-Productivity,Camels,46,32.2,59.8,
1185,South Asia,High-Productivity,Mules And Asses,10,7,13,
1186,South Asia,High-Productivity,Deer,20,14,26,
1187,South Asia,High-Productivity,Ostrich,5,3.5,6.5,
1188,South Asia,High-Productivity,Chicken Layer,4.87E-05,N/A,N/A,
1189,South Asia,High-Productivity,Chicken Broiler,4.87E-05,N/A,N/A,
1190,South Asia,High-Productivity,Llamas And Alpacas,8,5.6,10.4,
1191,Sub-Saharan Africa,Low-Productivity,Dairy Cattle,66,46.2,85.8,
1192,Sub-Saharan Africa,Low-Productivity,Other Cattle,48,33.6,62.4,
1193,Sub-Saharan Africa,Low-Productivity,Dairy Buffalo,81,56.7,105.3,
1194,Sub-Saharan Africa,Low-Productivity,Other Buffalo,81,56.7,105.3,
1195,Sub-Saharan Africa,Low-Productivity,Dairy Sheep,5,3.5,6.5,
1196,Sub-Saharan Africa,Low-Productivity,Other Sheep,5,3.5,6.5,
1197,Sub-Saharan Africa,Low-Productivity,Growing Swine,1,0.7,1.3,
1198,Sub-Saharan Africa,Low-Productivity,Breeding Swine,1,0.7,1.3,
1199,Sub-Saharan Africa,Low-Productivity,Goats,5,3.5,6.5,
1200,Sub-Saharan Africa,Low-Productivity,Horses,18,12.6,23.4,
1201,Sub-Saharan Africa,Low-Productivity,Camels,46,32.2,59.8,
1202,Sub-Saharan Africa,Low-Productivity,Mules And Asses,10,7,13,
1203,Sub-Saharan Africa,Low-Productivity,Deer,20,14,26,
1204,Sub-Saharan Africa,Low-Productivity,Ostrich,5,3.5,6.5,
1205,Sub-Saharan Africa,Low-Productivity,Chicken Layer,4.87E-05,N/A,N/A,
1206,Sub-Saharan Africa,Low-Productivity,Chicken Broiler,4.87E-05,N/A,N/A,
1207,Sub-Saharan Africa,Low-Productivity,Llamas And Alpacas,8,5.6,10.4,
1208,East Asia And South-East Asia,Low-Productivity,Dairy Cattle,71,49.7,92.3,
1209,East Asia And South-East Asia,Low-Productivity,Other Cattle,56,39.2,72.8,
1210,East Asia And South-East Asia,Low-Productivity,Dairy Buffalo,76,53.2,98.8,
1211,East Asia And South-East Asia,Low-Productivity,Other Buffalo,76,53.2,98.8,
1212,East Asia And South-East Asia,Low-Productivity,Dairy Sheep,5,3.5,6.5,
1213,East Asia And South-East Asia,Low-Productivity,Other Sheep,5,3.5,6.5,
1214,East Asia And South-East Asia,Low-Productivity,Growing Swine,1,0.7,1.3,
1215,East Asia And South-East Asia,Low-Productivity,Breeding Swine,1,0.7,1.3,
1216,East Asia And South-East Asia,Low-Productivity,Goats,5,3.5,6.5,
1217,East Asia And South-East Asia,Low-Productivity,Horses,18,12.6,23.4,
1218,East Asia And South-East Asia,Low-Productivity,Camels,46,32.2,59.8,
1219,East Asia And South-East Asia,Low-Productivity,Mules And Asses,10,7,13,
1220,East Asia And South-East Asia,Low-Productivity,Deer,20,14,26,
1221,East Asia And South-East Asia,Low-Productivity,Ostrich,5,3.5,6.5,
1222,East Asia And South-East Asia,Low-Productivity,Chicken Layer,4.87E-05,N/A,N/A,
1223,East Asia And South-East Asia,Low-Productivity,Chicken Broiler,4.87E-05,N/A,N/A,
1224,East Asia And South-East Asia,Low-Productivity,Llamas And Alpacas,8,5.6,10.4,
1225,North America,Low-Productivity,Dairy Cattle,138,96.6,179.4,
1226,North America,Low-Productivity,Other Cattle,64,44.8,83.2,
1227,North America,Low-Productivity,Dairy Buffalo,0,0,0,
1228,North America,Low-Productivity,Other Buffalo,0,0,0,
1229,North America,Low-Productivity,Dairy Sheep,5,3.5,6.5,
1230,North America,Low-Productivity,Other Sheep,5,3.5,6.5,
1231,North America,Low-Productivity,Growing Swine,1,0.7,1.3,
1232,North America,Low-Productivity,Breeding Swine,1,0.7,1.3,
1233,North America,Low-Productivity,Goats,5,3.5,6.5,
1234,North America,Low-Productivity,Horses,18,12.6,23.4,
1235,North America,Low-Productivity,Camels,46,32.2,59.8,
1236,North America,Low-Productivity,Mules And Asses,10,7,13,
1237,North America,Low-Productivity,Deer,20,14,26,
1238,North America,Low-Productivity,Ostrich,5,3.5,6.5,
1239,North America,Low-Productivity,Chicken Layer,4.87E-05,N/A,N/A,
1240,North America,Low-Productivity,Chicken Broiler,4.87E-05,N/A,N/A,
1241,North America,Low-Productivity,Llamas And Alpacas,8,5.6,10.4,
1242,Latin America And The Caribbean,Low-Productivity,Dairy Cattle,78,54.6,101.4,
1243,Latin America And The Caribbean,Low-Productivity,Other Cattle,58,40.6,75.4,
1244,Latin America And The Caribbean,Low-Productivity,Dairy Buffalo,68,47.6,88.4,
1245,Latin America And The Caribbean,Low-Productivity,Other Buffalo,68,47.6,88.4,
1246,Latin America And The Caribbean,Low-Productivity,Dairy Sheep,5,3.5,6.5,
1247,Latin America And The Caribbean,Low-Productivity,Other Sheep,5,3.5,6.5,
1248,Latin America And The Caribbean,Low-Productivity,Growing Swine,1,0.7,1.3,
1249,Latin America And The Caribbean,Low-Productivity,Breeding Swine,1,0.7,1.3,
1250,Latin America And The Caribbean,Low-Productivity,Goats,5,3.5,6.5,
1251,Latin America And The Caribbean,Low-Productivity,Horses,18,12.6,23.4,
1252,Latin America And The Caribbean,Low-Productivity,Camels,46,32.2,59.8,
1253,Latin America And The Caribbean,Low-Productivity,Mules And Asses,10,7,13,
1254,Latin America And The Caribbean,Low-Productivity,Deer,20,14,26,
1255,Latin America And The Caribbean,Low-Productivity,Ostrich,5,3.5,6.5,
1256,Latin America And The Caribbean,Low-Productivity,Chicken Layer,4.87E-05,N/A,N/A,
1257,Latin America And The Caribbean,Low-Productivity,Chicken Broiler,4.87E-05,N/A,N/A,
1258,Latin America And The Caribbean,Low-Productivity,Llamas And Alpacas,8,5.6,10.4,
1259,Western Europe,Low-Productivity,Dairy Cattle,126,88.2,163.8,
1260,Western Europe,Low-Productivity,Other Cattle,52,36.4,67.6,
1261,Western Europe,Low-Productivity,Dairy Buffalo,78,54.6,101.4,
1262,Western Europe,Low-Productivity,Other Buffalo,78,54.6,101.4,
1263,Western Europe,Low-Productivity,Dairy Sheep,5,3.5,6.5,
1264,Western Europe,Low-Productivity,Other Sheep,5,3.5,6.5,
1265,Western Europe,Low-Productivity,Growing Swine,1,0.7,1.3,
1266,Western Europe,Low-Productivity,Breeding Swine,1,0.7,1.3,
1267,Western Europe,Low-Productivity,Goats,5,3.5,6.5,
1268,Western Europe,Low-Productivity,Horses,18,12.6,23.4,
1269,Western Europe,Low-Productivity,Camels,46,32.2,59.8,
1270,Western Europe,Low-Productivity,Mules And Asses,10,7,13,
1271,Western Europe,Low-Productivity,Deer,20,14,26,
1272,Western Europe,Low-Productivity,Ostrich,5,3.5,6.5,
1273,Western Europe,Low-Productivity,Chicken Layer,4.87E-05,N/A,N/A,
1274,Western Europe,Low-Productivity,Chicken Broiler,4.87E-05,N/A,N/A,
1275,Western Europe,Low-Productivity,Llamas And Alpacas,8,5.6,10.4,
1276,Eastern Europe,Low-Productivity,Dairy Cattle,93,65.1,120.9,
1277,Eastern Europe,Low-Productivity,Other Cattle,58,40.6,75.4,
1278,Eastern Europe,Low-Productivity,Dairy Buffalo,68,47.6,88.4,
1279,Eastern Europe,Low-Productivity,Other Buffalo,68,47.6,88.4,
1280,Eastern Europe,Low-Productivity,Dairy Sheep,5,3.5,6.5,
1281,Eastern Europe,Low-Productivity,Other Sheep,5,3.5,6.5,
1282,Eastern Europe,Low-Productivity,Growing Swine,1,0.7,1.3,
1283,Eastern Europe,Low-Productivity,Breeding Swine,1,0.7,1.3,
1284,Eastern Europe,Low-Productivity,Goats,5,3.5,6.5,
1285,Eastern Europe,Low-Productivity,Horses,18,12.6,23.4,
1286,Eastern Europe,Low-Productivity,Camels,46,32.2,59.8,
1287,Eastern Europe,Low-Productivity,Mules And Asses,10,7,13,
1288,Eastern Europe,Low-Productivity,Deer,20,14,26,
1289,Eastern Europe,Low-Productivity,Ostrich,5,3.5,6.5,
1290,Eastern Europe,Low-Productivity,Chicken Layer,4.87E-05,N/A,N/A,
1291,Eastern Europe,Low-Productivity,Chicken Broiler,4.87E-05,N/A,N/A,
1292,Eastern Europe,Low-Productivity,Llamas And Alpacas,8,5.6,10.4,
1293,Russian Federation,Low-Productivity,Dairy Cattle,93,65.1,120.9,
1294,Russian Federation,Low-Productivity,Other Cattle,58,40.6,75.4,
1295,Russian Federation,Low-Productivity,Dairy Buffalo,68,47.6,88.4,
1296,Russian Federation,Low-Productivity,Other Buffalo,68,47.6,88.4,
1297,Russian Federation,Low-Productivity,Dairy Sheep,5,3.5,6.5,
1298,Russian Federation,Low-Productivity,Other Sheep,5,3.5,6.5,
1299,Russian Federation,Low-Productivity,Growing Swine,1,0.7,1.3,
1300,Russian Federation,Low-Productivity,Breeding Swine,1,0.7,1.3,
1301,Russian Federation,Low-Productivity,Goats,5,3.5,6.5,
1302,Russian Federation,Low-Productivity,Horses,18,12.6,23.4,
1303,Russian Federation,Low-Productivity,Camels,46,32.2,59.8,
1304,Russian Federation,Low-Productivity,Mules And Asses,10,7,13,
1305,Russian Federation,Low-Productivity,Deer,20,14,26,
1306,Russian Federation,Low-Productivity,Ostrich,5,3.5,6.5,
1307,Russian Federation,Low-Productivity,Chicken Layer,4.87E-05,N/A,N/A,
1308,Russian Federation,Low-Productivity,Chicken Broiler,4.87E-05,N/A,N/A,
1309,Russian Federation,Low-Productivity,Llamas And Alpacas,8,5.6,10.4,
1310,Oceania,Low-Productivity,Dairy Cattle,93,65.1,120.9,
1311,Oceania,Low-Productivity,Other Cattle,63,44.1,81.9,
1312,Oceania,Low-Productivity,Dairy Buffalo,0,0,0,
1313,Oceania,Low-Productivity,Other Buffalo,0,0,0,
1314,Oceania,Low-Productivity,Dairy Sheep,5,3.5,6.5,
1315,Oceania,Low-Productivity,Other Sheep,5,3.5,6.5,
1316,Oceania,Low-Productivity,Growing Swine,1,0.7,1.3,
1317,Oceania,Low-Productivity,Breeding Swine,1,0.7,1.3,
1318,Oceania,Low-Productivity,Goats,5,3.5,6.5,
1319,Oceania,Low-Productivity,Horses,18,12.6,23.4,
1320,Oceania,Low-Productivity,Camels,46,32.2,59.8,
1321,Oceania,Low-Productivity,Mules And Asses,10,7,13,
1322,Oceania,Low-Productivity,Deer,20,14,26,
1323,Oceania,Low-Productivity,Ostrich,5,3.5,6.5,
1324,Oceania,Low-Productivity,Chicken Layer,4.87E-05,N/A,N/A,
1325,Oceania,Low-Productivity,Chicken Broiler,4.87E-05,N/A,N/A,
1326,Oceania,Low-Productivity,Llamas And Alpacas,8,5.6,10.4,
1327,NENA/Middle East,Low-Productivity,Dairy Cattle,62,43.4,80.6,
1328,NENA/Middle East,Low-Productivity,Other Cattle,55,38.5,71.5,
1329,NENA/Middle East,Low-Productivity,Dairy Buffalo,67,46.9,87.1,
1330,NENA/Middle East,Low-Productivity,Other Buffalo,67,46.9,87.1,
1331,NENA/Middle East,Low-Productivity,Dairy Sheep,5,3.5,6.5,
1332,NENA/Middle East,Low-Productivity,Other Sheep,5,3.5,6.5,
1333,NENA/Middle East,Low-Productivity,Growing Swine,1,0.7,1.3,
1334,NENA/Middle East,Low-Productivity,Breeding Swine,1,0.7,1.3,
1335,NENA/Middle East,Low-Productivity,Goats,5,3.5,6.5,
1336,NENA/Middle East,Low-Productivity,Horses,18,12.6,23.4,
1337,NENA/Middle East,Low-Productivity,Camels,46,32.2,59.8,
1338,NENA/Middle East,Low-Productivity,Mules And Asses,10,7,13,
1339,NENA/Middle East,Low-Productivity,Deer,20,14,26,
1340,NENA/Middle East,Low-Productivity,Ostrich,5,3.5,6.5,
1341,NENA/Middle East,Low-Productivity,Chicken Layer,4.87E-05,N/A,N/A,
1342,NENA/Middle East,Low-Productivity,Chicken Broiler,4.87E-05,N/A,N/A,
1343,NENA/Middle East,Low-Productivity,Llamas And Alpacas,8,5.6,10.4,
1344,South Asia,Low-Productivity,Dairy Cattle,74,51.8,96.2,
1345,South Asia,Low-Productivity,Other Cattle,47,32.9,61.1,
1346,South Asia,Low-Productivity,Dairy Buffalo,85,59.5,110.5,
1347,South Asia,Low-Productivity,Other Buffalo,85,59.5,110.5,
1348,South Asia,Low-Productivity,Dairy Sheep,5,3.5,6.5,
1349,South Asia,Low-Productivity,Other Sheep,5,3.5,6.5,
1350,South Asia,Low-Productivity,Growing Swine,1,0.7,1.3,
