id,climate,region,forest_type,land_use_type,threshold,value,threshold_min,threshold_max,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 4.4."
361,Warm Temperate,Western Africa,Natural,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
362,Warm Temperate,Central Asia,Natural,Dry Forest,125,0.44,N/A,N/A,0.044,0.836,
363,Warm Temperate,Eastern Asia,Natural,Dry Forest,125,0.44,N/A,N/A,0.044,0.836,
364,Warm Temperate,South-Eastern Asia,Natural,Dry Forest,125,0.44,N/A,N/A,0.044,0.836,
365,Warm Temperate,Southern Asia,Natural,Dry Forest,125,0.44,N/A,N/A,0.044,0.836,
366,Warm Temperate,Western Asia,Natural,Dry Forest,125,0.44,N/A,N/A,0.044,0.836,
367,Warm Temperate,Europe,Natural,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
368,Warm Temperate,Oceania,Natural,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
369,Warm Temperate,North America,Natural,Dry Forest,125,0.336,N/A,N/A,0.0336,0.6384,
370,Warm Temperate,South America,Natural,Dry Forest,125,0.336,N/A,N/A,0.0336,0.6384,
371,Warm Temperate,Central America,Natural,Dry Forest,125,0.336,N/A,N/A,0.0336,0.6384,
372,Warm Temperate,Caribbean,Natural,Dry Forest,125,0.336,N/A,N/A,0.0336,0.6384,
373,Warm Temperate,Central Africa,Natural,Steppe,125,0.32,N/A,N/A,0.26,0.71,
374,Warm Temperate,Northern Africa,Natural,Steppe,125,0.32,N/A,N/A,0.26,0.71,
375,Warm Temperate,Southern Africa,Natural,Steppe,125,0.32,N/A,N/A,0.26,0.71,
376,Warm Temperate,Western Africa,Natural,Steppe,125,0.32,N/A,N/A,0.26,0.71,
377,Warm Temperate,Central Asia,Natural,Steppe,125,0.32,N/A,N/A,0.26,0.71,
378,Warm Temperate,Eastern Asia,Natural,Steppe,125,0.32,N/A,N/A,0.26,0.71,
379,Warm Temperate,South-Eastern Asia,Natural,Steppe,125,0.32,N/A,N/A,0.26,0.71,
380,Warm Temperate,Southern Asia,Natural,Steppe,125,0.32,N/A,N/A,0.26,0.71,
381,Warm Temperate,Western Asia,Natural,Steppe,125,0.32,N/A,N/A,0.26,0.71,
382,Warm Temperate,Europe,Natural,Steppe,125,0.32,N/A,N/A,0.26,0.71,
383,Warm Temperate,Oceania,Natural,Steppe,125,0.32,N/A,N/A,0.26,0.71,
384,Warm Temperate,North America,Natural,Steppe,125,1.338,N/A,N/A,0.1338,2.5422,
385,Warm Temperate,South America,Natural,Steppe,125,1.338,N/A,N/A,0.1338,2.5422,
386,Warm Temperate,Central America,Natural,Steppe,125,1.338,N/A,N/A,0.1338,2.5422,
387,Warm Temperate,Caribbean,Natural,Steppe,125,1.338,N/A,N/A,0.1338,2.5422,
388,Warm Temperate,Central Africa,Natural,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
389,Warm Temperate,Northern Africa,Natural,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
390,Warm Temperate,Southern Africa,Natural,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
391,Warm Temperate,Western Africa,Natural,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
392,Warm Temperate,Central Asia,Natural,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
393,Warm Temperate,Eastern Asia,Natural,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
394,Warm Temperate,South-Eastern Asia,Natural,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
395,Warm Temperate,Southern Asia,Natural,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
396,Warm Temperate,Western Asia,Natural,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
397,Warm Temperate,Europe,Natural,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
398,Warm Temperate,Oceania,Natural,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
399,Warm Temperate,North America,Natural,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
400,Warm Temperate,South America,Natural,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
401,Warm Temperate,Central America,Natural,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
402,Warm Temperate,Caribbean,Natural,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
403,Warm Temperate,Central Africa,Plantation,Humid Forest,125,0.2,N/A,N/A,0.09,0.25,
404,Warm Temperate,Northern Africa,Plantation,Humid Forest,125,0.2,N/A,N/A,0.09,0.25,
405,Warm Temperate,Southern Africa,Plantation,Humid Forest,125,0.2,N/A,N/A,0.09,0.25,
406,Warm Temperate,Western Africa,Plantation,Humid Forest,125,0.2,N/A,N/A,0.09,0.25,
407,Warm Temperate,Central Asia,Plantation,Humid Forest,125,0.2,N/A,N/A,0.09,0.25,
408,Warm Temperate,Eastern Asia,Plantation,Humid Forest,125,0.2,N/A,N/A,0.09,0.25,
409,Warm Temperate,South-Eastern Asia,Plantation,Humid Forest,125,0.2,N/A,N/A,0.09,0.25,
410,Warm Temperate,Southern Asia,Plantation,Humid Forest,125,0.2,N/A,N/A,0.09,0.25,
411,Warm Temperate,Western Asia,Plantation,Humid Forest,125,0.2,N/A,N/A,0.09,0.25,
412,Warm Temperate,Europe,Plantation,Humid Forest,125,0.2,N/A,N/A,0.09,0.25,
413,Warm Temperate,Oceania,Plantation,Humid Forest,125,0.2,N/A,N/A,0.09,0.25,
414,Warm Temperate,North America,Plantation,Humid Forest,125,0.2,N/A,N/A,0.09,0.25,
415,Warm Temperate,South America,Plantation,Humid Forest,125,0.2,N/A,N/A,0.09,0.25,
416,Warm Temperate,Central America,Plantation,Humid Forest,125,0.2,N/A,N/A,0.09,0.25,
417,Warm Temperate,Caribbean,Plantation,Humid Forest,125,0.2,N/A,N/A,0.09,0.25,
418,Warm Temperate,Central Africa,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
419,Warm Temperate,Northern Africa,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
420,Warm Temperate,Southern Africa,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
421,Warm Temperate,Western Africa,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
422,Warm Temperate,Central Asia,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
423,Warm Temperate,Eastern Asia,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
424,Warm Temperate,South-Eastern Asia,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
425,Warm Temperate,Southern Asia,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
426,Warm Temperate,Western Asia,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
427,Warm Temperate,Europe,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
428,Warm Temperate,Oceania,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
429,Warm Temperate,North America,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
430,Warm Temperate,South America,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
431,Warm Temperate,Central America,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
432,Warm Temperate,Caribbean,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
433,Warm Temperate,Central Africa,Plantation,Steppe,125,0.32,N/A,N/A,0.26,0.71,
434,Warm Temperate,Northern Africa,Plantation,Steppe,125,0.32,N/A,N/A,0.26,0.71,
435,Warm Temperate,Southern Africa,Plantation,Steppe,125,0.32,N/A,N/A,0.26,0.71,
436,Warm Temperate,Western Africa,Plantation,Steppe,125,0.32,N/A,N/A,0.26,0.71,
437,Warm Temperate,Central Asia,Plantation,Steppe,125,2.158,N/A,N/A,0.2158,4.1002,
438,Warm Temperate,Eastern Asia,Plantation,Steppe,125,2.158,N/A,N/A,0.2158,4.1002,
439,Warm Temperate,South-Eastern Asia,Plantation,Steppe,125,2.158,N/A,N/A,0.2158,4.1002,
440,Warm Temperate,Southern Asia,Plantation,Steppe,125,2.158,N/A,N/A,0.2158,4.1002,
441,Warm Temperate,Western Asia,Plantation,Steppe,125,2.158,N/A,N/A,0.2158,4.1002,
442,Warm Temperate,Europe,Plantation,Steppe,125,0.32,N/A,N/A,0.26,0.71,
443,Warm Temperate,Oceania,Plantation,Steppe,125,0.32,N/A,N/A,0.26,0.71,
444,Warm Temperate,North America,Plantation,Steppe,125,0.32,N/A,N/A,0.26,0.71,
445,Warm Temperate,South America,Plantation,Steppe,125,0.32,N/A,N/A,0.26,0.71,
446,Warm Temperate,Central America,Plantation,Steppe,125,0.32,N/A,N/A,0.26,0.71,
447,Warm Temperate,Caribbean,Plantation,Steppe,125,0.32,N/A,N/A,0.26,0.71,
448,Warm Temperate,Central Africa,Plantation,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
449,Warm Temperate,Northern Africa,Plantation,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
450,Warm Temperate,Southern Africa,Plantation,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
451,Warm Temperate,Western Africa,Plantation,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
452,Warm Temperate,Central Asia,Plantation,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
453,Warm Temperate,Eastern Asia,Plantation,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
