site_location_type;peat_type;climate;moisture;module_type;co2;ch4;doc;n2o
Off-Site;Nutrient Poor;Boreal;Dry;OtherLandUse;0;0;0;0
Off-Site;Nutrient Poor;Boreal;Moist;OtherLandUse;0;0;0;0
Off-Site;Nutrient Poor;Cool Temperate;Dry;OtherLandUse;0;0;0;0
Off-Site;Nutrient Poor;Cool Temperate;Moist;OtherLandUse;0;0;0;0
Off-Site;Nutrient Poor;Warm Temperate;Dry;OtherLandUse;0;0;0;0
Off-Site;Nutrient Poor;Warm Temperate;Moist;OtherLandUse;0;0;0;0
Off-Site;Nutrient Poor;Tropical;Dry;OtherLandUse;0;0;0;0
Off-Site;Nutrient Poor;Tropical;Moist;OtherLandUse;0;0;0;0
Off-Site;Nutrient Poor;Tropical;Wet;OtherLandUse;0;0;0;0
Off-Site;Nutrient Poor;Tropical Montane;Dry;OtherLandUse;0;0;0;0
Off-Site;Nutrient Poor;Boreal;Dry;DegradedLand;0;0;0;0
Off-Site;Nutrient Poor;Boreal;Moist;DegradedLand;0;0;0;0
Off-Site;Nutrient Poor;Cool Temperate;Dry;DegradedLand;0;0;0;0
Off-Site;Nutrient Poor;Cool Temperate;Moist;DegradedLand;0;0;0;0
Off-Site;Nutrient Poor;Warm Temperate;Dry;DegradedLand;0;0;0;0
Off-Site;Nutrient Poor;Warm Temperate;Moist;DegradedLand;0;0;0;0
Off-Site;Nutrient Poor;Tropical;Dry;DegradedLand;0;0;0;0
Off-Site;Nutrient Poor;Tropical;Moist;DegradedLand;0;0;0;0
Off-Site;Nutrient Poor;Tropical;Wet;DegradedLand;0;0;0;0
Off-Site;Nutrient Poor;Tropical Montane;Dry;DegradedLand;0;0;0;0
Off-Site;Nutrient Rich;Boreal;Dry;ForestManagement;0;217;0,12;0
Off-Site;Nutrient Rich;Boreal;Moist;ForestManagement;0;217;0,12;0
Off-Site;Nutrient Rich;Cool Temperate;Dry;ForestManagement;0;217;0,31;0
Off-Site;Nutrient Rich;Cool Temperate;Moist;ForestManagement;0;217;0,31;0
Off-Site;Nutrient Rich;Warm Temperate;Dry;ForestManagement;0;217;0,31;0
Off-Site;Nutrient Rich;Warm Temperate;Moist;ForestManagement;0;217;0,31;0
Off-Site;Nutrient Rich;Tropical;Dry;ForestManagement;0;2259;0,82;0
Off-Site;Nutrient Rich;Tropical;Moist;ForestManagement;0;2259;0,82;0
Off-Site;Nutrient Rich;Tropical;Wet;ForestManagement;0;2259;0,82;0
Off-Site;Nutrient Rich;Tropical Montane;Dry;ForestManagement;0;2259;0,82;0
Off-Site;Nutrient Rich;Boreal;Dry;Plantation;0;217;0,12;0
Off-Site;Nutrient Rich;Boreal;Moist;Plantation;0;217;0,12;0
Off-Site;Nutrient Rich;Cool Temperate;Dry;Plantation;0;217;0,31;0
Off-Site;Nutrient Rich;Cool Temperate;Moist;Plantation;0;217;0,31;0
Off-Site;Nutrient Rich;Warm Temperate;Dry;Plantation;0;217;0,31;0
Off-Site;Nutrient Rich;Warm Temperate;Moist;Plantation;0;217;0,31;0
Off-Site;Nutrient Rich;Tropical;Dry;Plantation;0;2259;0,82;0
