land_use_type,continent,gt_20_yrs,le_20_yrs
Planted Subtropical mountain System,Central Asia,6.5,6.5
Planted Subtropical mountain System,Eastern Asia,6.5,6.5
Planted Subtropical mountain System,South-eastern Asia,6.5,6.5
Planted Subtropical mountain System,Southern Asia,6.5,6.5
Planted Subtropical mountain System,Western Asia,6.5,6.5
Planted Subtropical mountain System,Europe,5,5
Planted Subtropical mountain System,Oceania,5,5
Planted Subtropical mountain System,North America,10,10
Planted Subtropical mountain System,South America,10,10
Planted Subtropical mountain System,Central America,10,10
Planted Subtropical mountain System,Caribbean,10,10
Planted Temperate mountain System,Eastern Africa,3,3
Planted Temperate mountain System,Central Africa,3,3
Planted Temperate mountain System,Northern Africa,3,3
Planted Temperate mountain System,Southern Africa,3,3
Planted Temperate mountain System,Western Africa,3,3
Planted Temperate mountain System,Central Asia,3,3
Planted Temperate mountain System,Eastern Asia,3,3
Planted Temperate mountain System,South-eastern Asia,3,3
Planted Temperate mountain System,Southern Asia,3,3
Planted Temperate mountain System,Western Asia,3,3
Planted Temperate mountain System,Europe,3,3
Planted Temperate mountain System,Oceania,3,3
Planted Temperate mountain System,North America,9,10
Planted Temperate mountain System,South America,9,10
Planted Temperate mountain System,Central America,9,10
Planted Temperate mountain System,Caribbean,9,10
Planted Temperate continental forest,Eastern Africa,4,4
Planted Temperate continental forest,Central Africa,4,4
Planted Temperate continental forest,Northern Africa,4,4
Planted Temperate continental forest,Southern Africa,4,4
Planted Temperate continental forest,Western Africa,4,4
Planted Temperate continental forest,Central Asia,4,4
Planted Temperate continental forest,Eastern Asia,4,4
Planted Temperate continental forest,South-eastern Asia,4,4
Planted Temperate continental forest,Southern Asia,4,4
Planted Temperate continental forest,Western Asia,4,4
Planted Temperate continental forest,Europe,4,4
Planted Temperate continental forest,Oceania,4,4
Planted Temperate continental forest,North America,4,5
Planted Temperate continental forest,South America,4,5
Planted Temperate continental forest,Central America,4,5
Planted Temperate continental forest,Caribbean,4,5
Planted Temperate oceanic forest,Eastern Africa,4.4,4.4
Planted Temperate oceanic forest,Central Africa,4.4,4.4
